# id	left	top	right	bottom	texture_id
[SPRITES]
100000	0	0	2815	625	30
100069	0	0	800	300	-10

#Big bushes
100001	0	0	127	63	50
100002	129	16	192	63	50	
100003	195	0	320	63	50
100004	322	0	417	127	50

#Small bush
100005	419	0	434	15	50

#Clouds
100006	436	0	485	23	50
100007	436	24	467	47	50
100008	436	48	499	71	50

#Sky decorations
#Mushroom
100009	257	373	272	388	60
#FLower
100010	277	373	292	388	60
#Star
100011	257	373	312	388	60

#Platform
100012	0	116	87	195	50
100013	103	84	318	195	50
100014	322	129	393	168	50
100015	0	198	183	293	50
100016	322	170	409	313	50
