# id	left	top	right	bottom	texture_id
[SPRITES]
110000	12	128	163	155	40

#Power meters and mario symbol
110011	64	162	71	169	40
110020	91	162	98	169	40
110030	72	162	87	169	40
110040	100	162	115	169	40

#Numbers
110010	77	31	84	38	40
110001	87	31	94	38	40
110002	97	31	104	38	40
110003	107	31	114	38	40
110004	117	31	124	38	40
110005	127	31	134	38	40
110006	137	31	144	38	40
110007	147	31	154	38	40
110008	157	31	164	38	40
110009	167	31	174	38	40

#Score amount
110100	61	88	72	97	40
110200	74	88	87	97	40
110400	89	88	102	97	40
110800	104	88	117	97	40
111000	118	88	135	97	40
112000	137	88	154	97	40
114000	156	88	173	97	40
118000	175	88	192	97	40
119000	193	88	210	97	40
