# id	left	top	right	bottom	texture_id
[SPRITES]

#small platform
50011	0	64	15	81	50
50012	18	64	33	81	50
50013	37	64	52	81	50

#big platform
50021	0	82	31	113	50
50022	34	82	65	113	50
50023	69	82	100	113	50

#Pipes
50024	189	245	220	292	50
50025	222	261	253	292	50
50026	288	261	317	292	50
50027	436	122	467	313	50

#Cloud
55000	354	243	369	258	20

#Bricks
20001	372	153	387	168	20
20002	354	153	369	168	20
54000	408	225	423	240	20
55000	354	243	369	258	20

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
